type,ID,name,start_node,end_node,start_diameter[SI],end_diameter[SI],start_thickness[SI],end_thickness[SI],length[SI],division_points,elastance_1[SI],res_start[SI],res_end[SI],visc_fact[1],k1[SI],k2[SI],k3[SI]
vis_f,BA,BA,n15,n51,0.004278,0.004278,0.0004278,0.0004278,0.00997,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,R_PCA,R-PCA,n59,n141,0.0023,0.0023,0.00023,0.00023,0.023164,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,R_P1,R-P1,n59,n107,0.002158,0.002158,0.0002158,0.0002158,0.013305,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,R_P2,R-P2,n107,n141,0.002502,0.002502,0.0002502,0.0002502,0.009869,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,L_PCA,L-PCA,n187,n238,0.003206,0.003206,0.0003206,0.0003206,0.015982,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,L_P1,L-P1,n187,n206,0.003418,0.003418,0.0003418,0.0003418,0.005941,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,L_P2,L-P2,n206,n238,0.00308,0.00308,0.000308,0.000308,0.010046,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,R_ICA,R-ICA,n332,n389,0.00448,0.00448,0.000448,0.000448,0.016434,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,R_C6,R-C6,n332,n368,0.004554,0.004554,0.0004554,0.0004554,0.010054,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,R_C7,R-C7,n368,n389,0.004352,0.004352,0.0004352,0.0004352,0.006385,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,R_MCA,R-MCA,n394,n426,0.003612,0.003612,0.0003612,0.0003612,0.00882,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,L_ICA,L-ICA,n493,n545,0.004604,0.004604,0.0004604,0.0004604,0.015408,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,L_C6,L-C6,n493,n527,0.004688,0.004688,0.0004688,0.0004688,0.010004,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,L_C7,L-C7,n527,n545,0.004442,0.004442,0.0004442,0.0004442,0.005405,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,L_MCA,L-MCA,n554,n591,0.003656,0.003656,0.0003656,0.0003656,0.010083,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,R_Pcom,R-Pcom,n619,n639,0.002854,0.002854,0.0002854,0.0002854,0.006595,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,L_Pcom,L-Pcom,n646,n679,0.000892,0.000892,8.92e-05,8.92e-05,0.010149,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,Acom,Acom,n738,n916,0.003778,0.003778,0.0003778,0.0003778,0.001676,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,R_ACA,R-ACA,n689,n772,0.003154,0.003154,0.0003154,0.0003154,0.02513,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,R_A1,R-A1,n689,n738,0.003006,0.003006,0.0003006,0.0003006,0.015084,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,R_A2,R-A2,n738,n772,0.003366,0.003366,0.0003366,0.0003366,0.010063,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,L_ACA,L-ACA,n809,n884,0.003346,0.003346,0.0003346,0.0003346,0.023392,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,L_A1,L-A1,n809,n848,0.003278,0.003278,0.0003278,0.0003278,0.013358,5,300000,0,0,2.75,2e+06,-2253,86500
vis_f,L_A2,L-A2,n848,n884,0.00342,0.00342,0.000342,0.000342,0.010038,5,300000,0,0,2.75,2e+06,-2253,86500
